name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
aoc2021_day6,hs,1,3,693,0.000,7806496,-2,97% 7%,15.682
aoc2021_day6,lisp,1,3,811,252.769,143800,0,49% 51%,252.085
