name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
aoc2021_day6,hs,1,1,693,0.283,644,0,3% 100%,0.284
aoc2021_day6,hs,1,2,693,10.280,1882656,0,0% 100%,10.283
aoc2021_day6,lisp,1,1,811,0.058,0,0,0% 100%,0.060
aoc2021_day6,lisp,1,2,811,2.796,128048,0,1% 100%,2.795
aoc2021_day6,lisp,1,3,811,252.769,143800,0,49% 51%,252.085
