name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
aoc2021_day6,hs,1,1,693,0.335,660,0,100% 0%,0.336
aoc2021_day6,hs,1,2,693,10.391,1882672,0,0% 100%,10.395
aoc2021_day6,hs,1,3,693,0.000,7867764,-2,99% 7%,15.908
aoc2021_day6,lisp,1,1,811,0.057,0,0,14% 100%,0.058
aoc2021_day6,lisp,1,2,811,2.847,127220,0,1% 99%,2.848
aoc2021_day6,lisp,1,3,811,254.473,142852,0,1% 100%,253.622
